Jeu,Algo,Structure,TouteUnif,Temps_Pretraitement_Moyen(s),Temps_Unification_Moyen(s),Temps_Total_Moyen(s),RAM_Pic_Moyen(Mo),CPU_Moyen(%)
jeu16,robinson,dictionnaire,False,0.000764,0.254681,0.255445,0.21,100.0
jeu16,robinson,ensemble,True,0.079039,0.47063,0.549669,1.21,100.0
jeu16,robinson,ensemble,False,0.07982,0.218911,0.298731,0.63,100.0
jeu17,robinson,liste,True,0.002273,6.984481,6.986754,9.24,100.0
jeu17,robinson,liste,False,0.002268,0.361557,0.363825,1.57,100.0
jeu17,robinson,dictionnaire,True,0.007751,6.984547,6.992298,9.26,100.0
jeu17,robinson,dictionnaire,False,0.007726,0.35368,0.361406,1.59,100.0
jeu17,robinson,ensemble,True,0.615009,4.109748,4.724758,11.66,99.9
jeu17,robinson,ensemble,False,0.610022,0.905504,1.515526,6.0,100.0
jeu18,robinson,liste,True,0.023036,68.295562,68.318598,75.48,100.0
jeu18,robinson,liste,False,0.023444,4.790702,4.814146,16.37,100.0
jeu18,robinson,dictionnaire,True,0.079595,68.110246,68.189841,75.66,100.0
jeu18,robinson,dictionnaire,False,0.076654,4.805631,4.882286,16.56,100.0
jeu18,robinson,ensemble,True,5.751593,36.904452,42.656045,91.11,100.0
jeu18,robinson,ensemble,False,5.74713,8.520382,14.267511,48.0,100.0
jeu19,robinson,liste,True,0.000234,0.787504,0.787738,0.92,100.0
jeu19,robinson,liste,False,0.000216,0.185274,0.18549,0.2,100.0
jeu19,robinson,dictionnaire,True,0.000822,0.77215,0.772972,0.92,100.0
jeu19,robinson,dictionnaire,False,0.000804,0.179747,0.180552,0.19,100.0
jeu19,robinson,ensemble,True,0.108769,0.506048,0.614816,1.25,100.0
jeu19,robinson,ensemble,False,0.109312,0.223027,0.332339,0.63,100.0
jeu20,robinson,liste,True,0.002247,6.966348,6.968594,8.55,100.0
jeu20,robinson,liste,False,0.002173,1.389948,1.392121,1.65,100.0
jeu20,robinson,dictionnaire,True,0.007596,6.932139,6.939735,8.57,100.0
jeu20,robinson,dictionnaire,False,0.007523,1.34577,1.353293,1.67,100.0
jeu20,robinson,ensemble,True,1.054297,4.563889,5.618186,10.99,100.0
jeu20,robinson,ensemble,False,1.056893,1.824614,2.881508,6.0,100.0
jeu21,robinson,liste,True,0.02505,82.866719,82.891769,83.21,100.0
jeu21,robinson,liste,False,0.02538,10.281639,10.307019,16.39,100.0
jeu21,robinson,dictionnaire,True,0.0815,79.674867,79.756367,83.4,99.9
jeu21,robinson,dictionnaire,False,0.086645,10.195005,10.28165,16.58,100.0
jeu21,robinson,ensemble,True,12.338033,54.074869,66.412902,98.85,99.9
jeu21,robinson,ensemble,False,12.328249,18.155389,30.483638,48.0,99.9
jeu22,robinson,liste,True,0.000219,0.904111,0.90433,0.88,100.0
jeu22,robinson,liste,False,0.000218,0.359853,0.36007,0.2,100.0
jeu22,robinson,dictionnaire,True,0.000785,0.888499,0.889285,0.87,100.0
jeu22,robinson,dictionnaire,False,0.000787,0.352542,0.353329,0.2,100.0
jeu22,robinson,ensemble,True,0.13986,0.597569,0.737429,1.2,100.0
jeu22,robinson,ensemble,False,0.139473,0.336326,0.475799,0.63,100.0
jeu23,robinson,liste,True,0.002207,7.045243,7.04745,8.15,100.0
